Category	despansing unit 	Product Name	Generic / Active Ingredient
	tube	Foban  2.0%, 15gm Ointment	Sodium Fusidate
	tube	Fobancort  15gm Ointment	Sodium Fusidate + Betamethasone
	pk	Gaelimox  500mg  Caps	Amoxicillin
	tube	Gentocil  0.3%, 5ml Eye Drop	Gentamicin
	ampoule	Getxin   80mg/2ml inj  	Gentamicin Sulfate
	pk	Klamoks   1gm  Tabs	Amoxicillin + Clavulanic Acid
	bottle 	Klamoks   156mg/5ml Susp	Amoxicillin + Clavulanic Acid
	bottle 	Klamoks   228mg/5ml, 70ml Susp	Amoxicillin + Clavulanic Acid
	bottle 	Klamoks   312mg/5ml, 100ml Suspn	Amoxicillin + Clavulanic Acid
	bottle 	Klamoks   625mg  Tab	Amoxicillin + Clavulanic Acid
	bottle 	L-Trim  240mg/5ml, 100ml Paediatric Oral Suspn	Sulfamethoxazole + Trimethoprim
	strip	L-Trim  480mg  Tab	Sulfamethoxazole + Trimethoprim
	strip	Levo-Denk  500mg  Tab	Levofloxacin
	bottle 	Medimox-CV  156.25mg/5ml, 100ml Oral Suspn	Amoxicillin + Clavulanic Acid
	strip	Medomycin  100mg 	Doxycycline
	strip	Meiact  200mg  Tab	Cefditoren Pivoxil
	pk	Miraclin  100mg	Doxycycline
	bottle 	Moxiclav   375mg 	Amoxicillin + Clavulanic Acid
	bottle 	Moxiclav   457mg/5ml Suspn	Amoxicillin + Clavulanic Acid
	tube	Moxigen  0.5%, 5ml Eye Drop	Moxifloxacin
	bottle 	Moxipil   312.5mg/5ml, 100ml Oral Suspn	Amoxicillin + Clavulanic Acid
	pk	Nevotic  500mg of 7 Tabs	Levofloxacin
	bottle 	Novamentin   156.25mg/5ml, 100ml Suspn	Amoxicillin + Clavulanic Acid
	bottle 	Novamentin   228mg/5ml, 100ml Suspn	Amoxicillin + Clavulanic Acid
	bottle 	Novamentin   457mg/5ml, 100ml Suspn	Amoxicillin + Clavulanic Acid
	bottle 	Novamentin   312mg/5ml, 100ml Suspn	Amoxicillin + Clavulanic Acid
	pk	Novamentin   625mg of tab	Amoxicillin + Clavulanic Acid
	pk	Novamentin   1gm of tab	Amoxicillin + Clavulanic Acid
	tube	Opticin  0.3%, 5ml Optha. Soln	Ciprofloxacin
	strip	Q-Bact  500mg of 10 Tab	Ciprofloxacin
	strip	Quinox  500mg of 10 Tab	Ciprofloxacin
	strip	Remycin  100mg 10 Tab	Doxycycline
	pk	Rivamox  500mg of  Tab	Amoxicillin
	bottle 	Rivamox  125mg/5ml, 100ml suspn of  Tab	Amoxicillin
	bottle 	Rivamox  250mg/5ml, 100ml suspn of  Tab	Amoxicillin
	ampoule	Ronem (Meropenem) 1gm Inj	Meropenem
	bottle 	Scolexin  250mg/5ml, 100ml Suspn	Cephalexin
	bottle 	Scolexin  125mg/5ml, 100ml Suspn	Cephalexin
	strip	Scolexin  500mg  Tab	Cephalexin
	bottle 	Sefarin  125mg/5ml, 100ml Suspn	Cefdinir
	ampoule	Theopime  1gm IM/IV inj	Cefepime
	ampoule	Travilan  1gm IM inj	Ceftriaxone
	ampoule	Triaxone  1gm IM Inj	Ceftriaxone
	ampoule	Voxin  1gm/Vial inj	Vancomycin
	bottle 	Winex  100mg/5ml, 60ml Oral Suspn	Cefixime
	pk 	Winex  400mg of 5 tab 	Cefixime
	pk	Zimaks  400mg of 5 Tab	Cefixime
	strip	Zindolin  500mg  	Ciprofloxacin
	bottle 	Ziromin  200mg/5ml, 30ml Suspn	Azithromycin
	pk	Zithrotel  500mg of 3 Tab	Azithromycin
	tube	Zoxan  0.3%, 5ml Eye/Ear Drop	Ciprofloxacin
